,Unnamed: 0.1,Unnamed: 0,Error Link,Error
0,0.0,0.0,https://www.doi.gov/news,Date Blocks
1,1.0,1.0,https://www.twc.texas.gov/news,Entire Error
2,,,https://www.mercurynews.com/latest-headlines/,None Date
3,,,https://www.mercurynews.com/latest-headlines/,None Date
4,,,https://www.mercurynews.com/latest-headlines/,None Date
5,,,https://www.mercurynews.com/latest-headlines/,None Date
6,,,https://www.mercurynews.com/latest-headlines/,None Date
7,,,https://www.mercurynews.com/latest-headlines/,None Date
8,,,https://www.mercurynews.com/latest-headlines/,None Date
9,,,https://www.mercurynews.com/latest-headlines/,None Date
10,,,https://www.mercurynews.com/latest-headlines/,None Date
11,,,https://www.dallasnews.com/news/,name 'ElementClickInterceptedException' is not defined
12,,,https://nypost.com/news/,"Message: element click intercepted: Element <button type=""button"" class=""button button--solid see-more"" data-more-url=""https://nypost.com/news/page/3/"" data-ga-event=""
		{&quot;category&quot;:&quot;Read More Stories&quot;,&quot;action&quot;:&quot;https:\/\/nypost.com\/news\/page\/3\/&quot;}		"" data-ga4-event=""
					{&quot;event_name&quot;:&quot;ux_engagement&quot;,&quot;source_unit&quot;:&quot;Read More Stories&quot;}					"">...</button> is not clickable at point (392, 577). Other element would receive the click: <iframe id=""zephr-component-1"" frameborder=""0"" scrolling=""no"" data-zephr-component=""component"" style=""overflow: hidden; background-color: transparent; border: none;""></iframe>
  (Session info: chrome-headless-shell=120.0.6099.109)
Stacktrace:
0   chromedriver                        0x00000001004e04cc chromedriver + 4162764
1   chromedriver                        0x00000001004d8654 chromedriver + 4130388
2   chromedriver                        0x000000010012fbc0 chromedriver + 293824
3   chromedriver                        0x000000010017d0b4 chromedriver + 610484
4   chromedriver                        0x000000010017b090 chromedriver + 602256
5   chromedriver                        0x0000000100178b58 chromedriver + 592728
6   chromedriver                        0x0000000100177b24 chromedriver + 588580
7   chromedriver                        0x000000010016b994 chromedriver + 539028
8   chromedriver                        0x000000010016b250 chromedriver + 537168
9   chromedriver                        0x00000001001b5ab0 chromedriver + 842416
10  chromedriver                        0x00000001001696bc chromedriver + 530108
11  chromedriver                        0x000000010016a930 chromedriver + 534832
12  chromedriver                        0x00000001004a5df8 chromedriver + 3923448
13  chromedriver                        0x00000001004aa3cc chromedriver + 3941324
14  chromedriver                        0x000000010048e028 chromedriver + 3825704
15  chromedriver                        0x00000001004aaf2c chromedriver + 3944236
16  chromedriver                        0x00000001004806e4 chromedriver + 3770084
17  chromedriver                        0x00000001004c7970 chromedriver + 4061552
18  chromedriver                        0x00000001004c7ae8 chromedriver + 4061928
19  chromedriver                        0x00000001004d82d4 chromedriver + 4129492
20  libsystem_pthread.dylib             0x0000000193b6206c _pthread_start + 148
21  libsystem_pthread.dylib             0x0000000193b5ce2c thread_start + 8
"
13,,,https://nypost.com/2023/12/17/news/nikki-haley-chips-away-at-trumps-monster-lead-in-new-hampshire-poll/,"Message: timeout: Timed out receiving message from renderer: 298.619
  (Session info: chrome-headless-shell=120.0.6099.109)
Stacktrace:
0   chromedriver                        0x000000010498c4cc chromedriver + 4162764
1   chromedriver                        0x0000000104984654 chromedriver + 4130388
2   chromedriver                        0x00000001045dbbc0 chromedriver + 293824
3   chromedriver                        0x00000001045c3c3c chromedriver + 195644
4   chromedriver                        0x00000001045c3ad0 chromedriver + 195280
5   chromedriver                        0x00000001045c1e3c chromedriver + 187964
6   chromedriver                        0x00000001045c2b30 chromedriver + 191280
7   chromedriver                        0x00000001045d1f5c chromedriver + 253788
8   chromedriver                        0x00000001045e74b4 chromedriver + 341172
9   chromedriver                        0x00000001045c31e0 chromedriver + 192992
10  chromedriver                        0x00000001045e72d0 chromedriver + 340688
11  chromedriver                        0x0000000104661bd8 chromedriver + 842712
12  chromedriver                        0x00000001046156bc chromedriver + 530108
13  chromedriver                        0x0000000104616930 chromedriver + 534832
14  chromedriver                        0x0000000104951df8 chromedriver + 3923448
15  chromedriver                        0x00000001049563cc chromedriver + 3941324
16  chromedriver                        0x000000010493a028 chromedriver + 3825704
17  chromedriver                        0x0000000104956f2c chromedriver + 3944236
18  chromedriver                        0x000000010492c6e4 chromedriver + 3770084
19  chromedriver                        0x0000000104973970 chromedriver + 4061552
20  chromedriver                        0x0000000104973ae8 chromedriver + 4061928
21  chromedriver                        0x00000001049842d4 chromedriver + 4129492
22  libsystem_pthread.dylib             0x0000000193b6206c _pthread_start + 148
23  libsystem_pthread.dylib             0x0000000193b5ce2c thread_start + 8
"
14,,,https://nypost.com/2023/12/17/news/the-biggest-hamas-tunnel-uncovered-near-israel-gaza-border-idf/,None Title
15,,,https://nypost.com/2023/12/17/news/over-60-people-dead-after-migrant-boat-capsized-off-coast-of-libya/,None Title
16,,,https://nypost.com/2023/12/17/news/florida-man-gets-life-in-prison-for-killing-prominent-lgbtq-activist/,None Title
17,,,https://nypost.com/2023/12/17/news/nikki-haleys-nevada-primary-strategy-risks-major-confusion/,None Title
18,,,https://nypost.com/2023/12/17/news/black-americans-see-their-struggles-reflected-in-palestine/,None Title
19,,,https://nypost.com/2023/12/17/news/israel-raids-vacation-homes-of-hamas-leaders-discovers-tunnel-under-baby-crib-in-gaza/,None Title
20,,,https://nypost.com/2023/12/17/news/chief-strategist-for-desantis-aligned-super-pac-steps-down-with-less-than-a-month-until-iowa/,None Title
21,,,https://nypost.com/2023/12/17/news/new-york-gerrymandering-could-make-or-break-dems-house-hopes/,None Title
22,,,https://nypost.com/2023/12/17/news/obama-frets-biden-very-well-could-lose-in-2024-report/,None Title
23,,,https://nypost.com/2023/12/17/news/russia-and-ukraine-launch-drone-attacks-targeting-russian-air-base-black-sea-coast/,None Title
24,,,https://nypost.com/2023/12/17/news/lindsey-graham-ive-never-been-more-worried-about-a-9-11/,None Title
25,,,https://nypost.com/2023/12/17/news/harvard-early-admission-applications-drop-17-amid-antisemitism-claims/,None Title
26,,,https://nypost.com/2023/12/17/news/tv-vet-saves-shattered-leg-of-dog-who-survived-two-months-lost/,None Title
27,,,https://nypost.com/2023/12/17/news/ex-cardin-staffer-allegedly-in-sex-tape-may-have-exposed-himself-to-legal-trouble-expert/,None Title
28,,,https://nypost.com/2023/12/17/news/israeli-hostage-may-not-know-his-wife-daughters-were-murdered/,None Title
29,,,https://nypost.com/2023/12/17/news/tiktokkers-slammed-for-filming-drug-users-in-tranq-tourism/,None Title
30,,,https://nypost.com/2023/12/17/news/floods-wind-expected-to-hit-northeast-to-carolinas-in-pre-holiday-storm/,None Title
31,,,https://nypost.com/2023/12/17/news/donald-trump-dings-chris-sununu-after-haley-endorsement/,None Title
32,,,https://nypost.com/2023/12/17/news/disney-world-guests-stuck-on-steep-rollercoaster-incline-for-30-minutes/,None Title
33,,,https://nypost.com/2023/12/17/news/air-force-legend-robert-bob-pardo-famous-for-pardos-push-maneuver-dead-at-89/,None Title
34,,,https://nypost.com/2023/12/17/news/boston-tea-party-250-years-old-with-reenactments-of-the-revolutionary-protest/,None Title
35,,,https://nypost.com/2023/12/17/news/quaker-oats-recalls-granola-bars-cereals-over-salmonella-risk/,None Title
36,,,https://nypost.com/2023/12/17/news/vladimir-putin-says-joe-bidens-remark-about-russian-plan-to-attack-nato-is-complete-nonsense/,None Title
37,,,https://nypost.com/2023/12/17/news/trump-sits-ringside-with-kid-rock-for-covingtons-ufc-296-loss/,None Title
38,,,https://nypost.com/2023/12/17/news/shanda-vander-ark-vomits-when-shown-pics-of-son-she-starved-to-death/,None Title
39,,,https://nypost.com/2023/12/17/news/arlington-national-cemetery-ready-to-remove-confederate-memorial/,None Title
40,,,https://nypost.com/2023/12/17/news/washington-state-man-richard-bradley-jr-used-buried-gold-to-lure-victims/,None Title
41,,,https://nypost.com/2023/12/17/news/florida-man-steals-ingredients-to-make-screwdriver-cocktail-video/,None Title
42,,,https://nypost.com/2023/12/17/news/obama-frets-biden-very-well-could-lose-in-2024-report/,None Title
43,,,https://nypost.com/2023/12/17/news/russia-and-ukraine-launch-drone-attacks-targeting-russian-air-base-black-sea-coast/,None Title
44,,,https://nypost.com/2023/12/17/news/lindsey-graham-ive-never-been-more-worried-about-a-9-11/,None Title
45,,,https://nypost.com/2023/12/17/news/harvard-early-admission-applications-drop-17-amid-antisemitism-claims/,None Title
46,,,https://nypost.com/2023/12/17/news/tv-vet-saves-shattered-leg-of-dog-who-survived-two-months-lost/,None Title
47,,,https://nypost.com/2023/12/17/news/ex-cardin-staffer-allegedly-in-sex-tape-may-have-exposed-himself-to-legal-trouble-expert/,None Title
48,,,https://nypost.com/2023/12/17/news/israeli-hostage-may-not-know-his-wife-daughters-were-murdered/,None Title
49,,,https://nypost.com/2023/12/17/news/tiktokkers-slammed-for-filming-drug-users-in-tranq-tourism/,None Title
50,,,https://nypost.com/2023/12/17/news/floods-wind-expected-to-hit-northeast-to-carolinas-in-pre-holiday-storm/,None Title
51,,,https://nypost.com/2023/12/17/news/donald-trump-dings-chris-sununu-after-haley-endorsement/,None Title
52,,,https://nypost.com/2023/12/17/news/disney-world-guests-stuck-on-steep-rollercoaster-incline-for-30-minutes/,None Title
53,,,https://nypost.com/2023/12/17/news/air-force-legend-robert-bob-pardo-famous-for-pardos-push-maneuver-dead-at-89/,None Title
54,,,https://nypost.com/2023/12/17/news/boston-tea-party-250-years-old-with-reenactments-of-the-revolutionary-protest/,None Title
55,,,https://nypost.com/2023/12/17/news/quaker-oats-recalls-granola-bars-cereals-over-salmonella-risk/,None Title
56,,,https://nypost.com/2023/12/17/news/vladimir-putin-says-joe-bidens-remark-about-russian-plan-to-attack-nato-is-complete-nonsense/,None Title
57,,,https://nypost.com/2023/12/17/news/trump-sits-ringside-with-kid-rock-for-covingtons-ufc-296-loss/,None Title
58,,,https://nypost.com/2023/12/17/news/shanda-vander-ark-vomits-when-shown-pics-of-son-she-starved-to-death/,None Title
59,,,https://nypost.com/2023/12/17/news/arlington-national-cemetery-ready-to-remove-confederate-memorial/,None Title
60,,,https://nypost.com/2023/12/17/news/washington-state-man-richard-bradley-jr-used-buried-gold-to-lure-victims/,None Title
61,,,https://nypost.com/2023/12/17/news/florida-man-steals-ingredients-to-make-screwdriver-cocktail-video/,None Title
62,,,https://www.nj.com/news/2023/12/historic-black-nj-church-tied-to-the-underground-railroad-gets-new-national-park-honor.html,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.nj.com/news/2023/12/historic-black-nj-church-tied-to-the-underground-railroad-gets-new-national-park-honor.html on URL https://www.nj.com/news/2023/12/historic-black-nj-church-tied-to-the-underground-railroad-gets-new-national-park-honor.html
63,,,https://www.nj.com/essex/2023/12/cops-seek-tips-on-newark-woman-missing-since-november.html,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.nj.com/essex/2023/12/cops-seek-tips-on-newark-woman-missing-since-november.html on URL https://www.nj.com/essex/2023/12/cops-seek-tips-on-newark-woman-missing-since-november.html
64,,,https://www.nj.com/realestate-news/2023/12/see-all-homes-sold-in-these-new-jersey-counties-dec-4-to-dec-10.html,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.nj.com/realestate-news/2023/12/see-all-homes-sold-in-these-new-jersey-counties-dec-4-to-dec-10.html on URL https://www.nj.com/realestate-news/2023/12/see-all-homes-sold-in-these-new-jersey-counties-dec-4-to-dec-10.html
65,,,https://www.nj.com/opinion/2023/12/dont-trash-njs-clean-energy-future-opinion.html,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.nj.com/opinion/2023/12/dont-trash-njs-clean-energy-future-opinion.html on URL https://www.nj.com/opinion/2023/12/dont-trash-njs-clean-energy-future-opinion.html
66,,,https://www.nj.com/opinion/2023/12/fix-border-help-ukraine-but-keep-them-separate-letters.html,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.nj.com/opinion/2023/12/fix-border-help-ukraine-but-keep-them-separate-letters.html on URL https://www.nj.com/opinion/2023/12/fix-border-help-ukraine-but-keep-them-separate-letters.html
67,,,https://www.nj.com/realestate-news/2023/12/see-all-homes-sold-in-these-new-jersey-counties-dec-4-to-dec-10.html,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.nj.com/realestate-news/2023/12/see-all-homes-sold-in-these-new-jersey-counties-dec-4-to-dec-10.html on URL https://www.nj.com/realestate-news/2023/12/see-all-homes-sold-in-these-new-jersey-counties-dec-4-to-dec-10.html
68,,,https://www.nj.com/opinion/2023/12/dont-trash-njs-clean-energy-future-opinion.html,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.nj.com/opinion/2023/12/dont-trash-njs-clean-energy-future-opinion.html on URL https://www.nj.com/opinion/2023/12/dont-trash-njs-clean-energy-future-opinion.html
69,,,https://www.nj.com/hudson/2023/12/fbi-offers-10k-reward-for-information-on-jersey-city-woman-missing-since-2019.html,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.nj.com/hudson/2023/12/fbi-offers-10k-reward-for-information-on-jersey-city-woman-missing-since-2019.html on URL https://www.nj.com/hudson/2023/12/fbi-offers-10k-reward-for-information-on-jersey-city-woman-missing-since-2019.html
70,,,https://www.nj.com/hudson/2023/12/popular-jersey-city-restaurants-close-as-industry-remains-altered-by-covid.html,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.nj.com/hudson/2023/12/popular-jersey-city-restaurants-close-as-industry-remains-altered-by-covid.html on URL https://www.nj.com/hudson/2023/12/popular-jersey-city-restaurants-close-as-industry-remains-altered-by-covid.html
71,,,https://www.nj.com/realestate-news/2023/12/see-all-homes-sold-in-these-new-jersey-counties-dec-4-to-dec-10.html,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.nj.com/realestate-news/2023/12/see-all-homes-sold-in-these-new-jersey-counties-dec-4-to-dec-10.html on URL https://www.nj.com/realestate-news/2023/12/see-all-homes-sold-in-these-new-jersey-counties-dec-4-to-dec-10.html
72,,,https://www.nj.com/opinion/2023/12/searching-for-christ-at-christmastime-faith-matters.html,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.nj.com/opinion/2023/12/searching-for-christ-at-christmastime-faith-matters.html on URL https://www.nj.com/opinion/2023/12/searching-for-christ-at-christmastime-faith-matters.html
73,,,https://www.nj.com/realestate-news/2023/12/see-all-homes-sold-in-these-new-jersey-counties-dec-4-to-dec-10.html,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.nj.com/realestate-news/2023/12/see-all-homes-sold-in-these-new-jersey-counties-dec-4-to-dec-10.html on URL https://www.nj.com/realestate-news/2023/12/see-all-homes-sold-in-these-new-jersey-counties-dec-4-to-dec-10.html
74,,,https://www.nj.com/mercer/2023/12/bomb-threat-emailed-to-multiple-houses-of-worship-in-nj-cops-say.html,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.nj.com/mercer/2023/12/bomb-threat-emailed-to-multiple-houses-of-worship-in-nj-cops-say.html on URL https://www.nj.com/mercer/2023/12/bomb-threat-emailed-to-multiple-houses-of-worship-in-nj-cops-say.html
75,,,https://www.nj.com/opinion/2023/12/nj-transit-sticks-its-riders-and-thats-no-bull-letters.html,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.nj.com/opinion/2023/12/nj-transit-sticks-its-riders-and-thats-no-bull-letters.html on URL https://www.nj.com/opinion/2023/12/nj-transit-sticks-its-riders-and-thats-no-bull-letters.html
76,,,https://www.nj.com/realestate-news/2023/12/see-all-homes-sold-in-these-new-jersey-counties-dec-4-to-dec-10.html,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.nj.com/realestate-news/2023/12/see-all-homes-sold-in-these-new-jersey-counties-dec-4-to-dec-10.html on URL https://www.nj.com/realestate-news/2023/12/see-all-homes-sold-in-these-new-jersey-counties-dec-4-to-dec-10.html
77,,,https://www.nj.com/education/2023/12/suspended-rutgers-palestinian-group-its-future-uncertain-gains-advocates.html,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.nj.com/education/2023/12/suspended-rutgers-palestinian-group-its-future-uncertain-gains-advocates.html on URL https://www.nj.com/education/2023/12/suspended-rutgers-palestinian-group-its-future-uncertain-gains-advocates.html
78,,,https://www.nj.com/realestate-news/2023/12/see-all-homes-sold-in-these-new-jersey-counties-dec-4-to-dec-10.html,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.nj.com/realestate-news/2023/12/see-all-homes-sold-in-these-new-jersey-counties-dec-4-to-dec-10.html on URL https://www.nj.com/realestate-news/2023/12/see-all-homes-sold-in-these-new-jersey-counties-dec-4-to-dec-10.html
79,,,https://www.nj.com/realestate-news/2023/12/see-all-homes-sold-in-these-new-jersey-counties-dec-4-to-dec-10.html,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.nj.com/realestate-news/2023/12/see-all-homes-sold-in-these-new-jersey-counties-dec-4-to-dec-10.html on URL https://www.nj.com/realestate-news/2023/12/see-all-homes-sold-in-these-new-jersey-counties-dec-4-to-dec-10.html
80,,,https://www.nj.com/morris/2023/12/3-alarm-fire-leaves-3-firefighters-injured-7-residents-displaced.html,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.nj.com/morris/2023/12/3-alarm-fire-leaves-3-firefighters-injured-7-residents-displaced.html on URL https://www.nj.com/morris/2023/12/3-alarm-fire-leaves-3-firefighters-injured-7-residents-displaced.html
81,,,https://www.nj.com/realestate-news/2023/12/see-all-homes-sold-in-these-new-jersey-counties-dec-4-to-dec-10.html,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.nj.com/realestate-news/2023/12/see-all-homes-sold-in-these-new-jersey-counties-dec-4-to-dec-10.html on URL https://www.nj.com/realestate-news/2023/12/see-all-homes-sold-in-these-new-jersey-counties-dec-4-to-dec-10.html
82,,,https://www.nj.com/realestate-news/2023/12/see-all-homes-sold-in-these-new-jersey-counties-dec-4-to-dec-10.html,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.nj.com/realestate-news/2023/12/see-all-homes-sold-in-these-new-jersey-counties-dec-4-to-dec-10.html on URL https://www.nj.com/realestate-news/2023/12/see-all-homes-sold-in-these-new-jersey-counties-dec-4-to-dec-10.html
83,,,https://www.nj.com/realestate-news/2023/12/see-all-homes-sold-in-these-new-jersey-counties-dec-4-to-dec-10.html,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.nj.com/realestate-news/2023/12/see-all-homes-sold-in-these-new-jersey-counties-dec-4-to-dec-10.html on URL https://www.nj.com/realestate-news/2023/12/see-all-homes-sold-in-these-new-jersey-counties-dec-4-to-dec-10.html
84,,,https://www.nj.com/opinion/2023/12/fix-border-help-ukraine-but-keep-them-separate-letters.html,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.nj.com/opinion/2023/12/fix-border-help-ukraine-but-keep-them-separate-letters.html on URL https://www.nj.com/opinion/2023/12/fix-border-help-ukraine-but-keep-them-separate-letters.html
85,,,https://www.nj.com/realestate-news/2023/12/see-all-homes-sold-in-these-new-jersey-counties-dec-4-to-dec-10.html,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.nj.com/realestate-news/2023/12/see-all-homes-sold-in-these-new-jersey-counties-dec-4-to-dec-10.html on URL https://www.nj.com/realestate-news/2023/12/see-all-homes-sold-in-these-new-jersey-counties-dec-4-to-dec-10.html
86,,,https://www.nj.com/opinion/2023/12/dont-trash-njs-clean-energy-future-opinion.html,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.nj.com/opinion/2023/12/dont-trash-njs-clean-energy-future-opinion.html on URL https://www.nj.com/opinion/2023/12/dont-trash-njs-clean-energy-future-opinion.html
87,,,https://www.nj.com/realestate-news/2023/12/see-all-homes-sold-in-these-new-jersey-counties-dec-4-to-dec-10.html,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.nj.com/realestate-news/2023/12/see-all-homes-sold-in-these-new-jersey-counties-dec-4-to-dec-10.html on URL https://www.nj.com/realestate-news/2023/12/see-all-homes-sold-in-these-new-jersey-counties-dec-4-to-dec-10.html
88,,,https://www.nj.com/realestate-news/2023/12/see-all-homes-sold-in-these-new-jersey-counties-dec-4-to-dec-10.html,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.nj.com/realestate-news/2023/12/see-all-homes-sold-in-these-new-jersey-counties-dec-4-to-dec-10.html on URL https://www.nj.com/realestate-news/2023/12/see-all-homes-sold-in-these-new-jersey-counties-dec-4-to-dec-10.html
89,,,https://www.nj.com/realestate-news/2023/12/see-all-homes-sold-in-these-new-jersey-counties-dec-4-to-dec-10.html,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.nj.com/realestate-news/2023/12/see-all-homes-sold-in-these-new-jersey-counties-dec-4-to-dec-10.html on URL https://www.nj.com/realestate-news/2023/12/see-all-homes-sold-in-these-new-jersey-counties-dec-4-to-dec-10.html
90,,,https://www.nj.com/realestate-news/2023/12/see-all-homes-sold-in-these-new-jersey-counties-dec-4-to-dec-10.html,Article `download()` failed with 429 Client Error: Too Many Requests for url: https://www.nj.com/realestate-news/2023/12/see-all-homes-sold-in-these-new-jersey-counties-dec-4-to-dec-10.html on URL https://www.nj.com/realestate-news/2023/12/see-all-homes-sold-in-these-new-jersey-counties-dec-4-to-dec-10.html
91,,,https://www.washingtonpost.com/latest-headlines/,None Title
92,,,https://www.washingtonpost.com/latest-headlines/,None Title
93,,,https://www.washingtonpost.com/latest-headlines/,None Title
94,,,https://www.washingtonpost.com/latest-headlines/,None Title
95,,,https://www.washingtonpost.com/latest-headlines/,None Title
96,,,https://www.washingtonpost.com/latest-headlines/,None Title
97,,,https://www.washingtonpost.com/latest-headlines/,None Title
98,,,https://www.washingtonpost.com/latest-headlines/,None Title
99,,,https://www.washingtonpost.com/latest-headlines/,None Title/None Title
100,,,https://www.washingtonpost.com/latest-headlines/,None Title/None Title
101,,,https://www.washingtonpost.com/latest-headlines/,None Title/None Title
102,,,https://www.washingtonpost.com/latest-headlines/,None Title/None Title
103,,,https://www.washingtonpost.com/latest-headlines/,None Title/None Title/None Title
104,,,https://www.washingtonpost.com/latest-headlines/,None Title/None Title/None Title
105,,,https://www.washingtonpost.com/latest-headlines/,None Title/None Title/None Title
106,,,https://www.washingtonpost.com/latest-headlines/,None Title/None Title/None Title
107,,,https://www.washingtonpost.com/latest-headlines/,None Title/None Title/None Title
108,,,https://www.washingtonpost.com/latest-headlines/,None Title/None Title/None Title
109,,,https://www.washingtonpost.com/latest-headlines/,None Title/None Title/None Title
110,,,https://www.washingtonpost.com/latest-headlines/,None Title/None Title/None Title
111,,,https://www.washingtonpost.com/latest-headlines/,None Title/None Title/None Title
112,,,https://www.washingtonpost.com/latest-headlines/,None Title/None Title/None Title
113,,,https://www.washingtonpost.com/latest-headlines/,None Title/None Title/None Title
114,,,https://www.washingtonpost.com/latest-headlines/,None Title/None Title/None Title
115,,,https://www.washingtonpost.com/latest-headlines/,None Title/None Title/None Title
116,,,https://www.washingtonpost.com/latest-headlines/,None Title/None Title/None Title
117,,,https://www.washingtonpost.com/latest-headlines/,None Title/None Title/None Title
118,,,https://www.washingtonpost.com/latest-headlines/,None Title/None Title/None Title
119,,,https://www.washingtonpost.com/latest-headlines/,None Title/None Title/None Title
120,,,https://www.washingtonpost.com/latest-headlines/,None Title/None Title/None Title
121,,,https://www.washingtonpost.com/latest-headlines/,None Title/None Title/None Title
122,,,https://www.washingtonpost.com/latest-headlines/,None Title/None Title/None Title
123,,,https://www.washingtonpost.com/latest-headlines/,None Title/None Title/None Title
124,,,https://www.washingtonpost.com/latest-headlines/,None Title/None Title/None Title
125,,,https://www.washingtonpost.com/latest-headlines/,None Title/None Title/None Title
126,,,https://www.washingtonpost.com/latest-headlines/,None Title/None Title/None Title
127,,,https://www.washingtonpost.com/latest-headlines/,None Title/None Title/None Title
128,,,https://www.washingtonpost.com/latest-headlines/,None Title/None Title/None Title
129,,,https://www.washingtonpost.com/latest-headlines/,None Title/None Title/None Title
130,,,https://www.washingtonpost.com/latest-headlines/,None Title/None Title/None Title
131,,,https://www.washingtonpost.com/latest-headlines/,None Title/None Title/None Title
132,,,https://www.washingtonpost.com/latest-headlines/,None Title/None Title/None Title
133,,,https://www.washingtonpost.com/latest-headlines/,None Title/None Title/None Title
134,,,https://www.washingtonpost.com/latest-headlines/,None Title/None Title/None Title/None Title
135,,,https://www.washingtonpost.com/latest-headlines/,None Title/None Title/None Title/None Title
136,,,https://www.washingtonpost.com/latest-headlines/,None Title/None Title/None Title/None Title
137,,,https://www.washingtonpost.com/latest-headlines/,None Title/None Title/None Title/None Title
138,,,https://www.washingtonpost.com/latest-headlines/,None Title/None Title/None Title/None Title/None Title
139,,,https://www.washingtonpost.com/latest-headlines/,None Title/None Title/None Title/None Title/None Title
140,,,https://www.fox5dc.com/tag/us/md,'NoneType' object has no attribute 'find'
141,,,https://foxbaltimore.com/news/local,invalid literal for int() with base 10: ''
